Email address,Reachability,Disposable address,Role account,Inbox full,Catch-all address,Disabled email account,Syntax issues
l.laugier@pm.meeé,non-existent (will bounce),NO,NO,NO,NO,NO,YES
l.laugier@pm.m2eeee,non-existent (will bounce),NO,NO,NO,NO,NO,YES
l.laugier@pm.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.meee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@proton.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.meeee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.mee,non-existent (will bounce),NO,NO,NO,NO,NO,NO
l.laugier@pm.me,unknown (domain protected),NO,NO,NO,NO,NO,NO
l.laugier@protonmail.com,unknown (domain protected),NO,NO,NO,NO,NO,NO
